activity_id,parent_id,area_id,parent_name,name,position
1481,52,55,Executive Functions,Inhibition,2
1481,14,16,Attention,Sustained Attention,3
1481,14,15,Attention,Selective Attention,4
1482,11,12,Cognitive Functions,Social Cognition,1
1483,11,12,Cognitive Functions,Social Cognition,1
1483,24,29,Language,Vocabulary,2
1488,52,57,Executive Functions,Flexibility,1
1488,52,59,Executive Functions,Planning,2
1491,11,12,Cognitive Functions,Social Cognition,1
1497,11,12,Cognitive Functions,Social Cognition,1
